"ci_ciudad";"ci_descripcion";"ci_estado";"ci_provincia";"ci_cod_remesas";"ci_pais"
0;"NO DEFINIDO";"V";0;0;1
101;"EL VIEJO";"V";1;0;1
102;"PUERTO MORAZAN";"V";1;0;1
103;"SOMOTILLO";"V";1;0;1
104;"SANTO TOMAS DEL NORTE";"V";1;0;1
105;"CINCO PINOS";"V";1;0;1
106;"SAN PEDRO DEL NORTE";"V";1;0;1
107;"SAN FRANCISCO DEL NORTE";"V";1;0;1
108;"VILLANUEVA";"V";1;0;1
109;"CHINANDEGA";"V";1;0;1
110;"POSOLTEGA";"V";1;0;1
111;"CHICHIGALPA";"V";1;0;1
112;"EL REALEJO";"V";1;0;1
113;"CORINTO";"V";1;0;1
201;"ACHUAPA";"V";2;0;1
202;"EL SAUCE";"V";2;0;1
204;"SANTA ROSA DEL PENON";"V";2;0;1
205;"EL JICARAL";"V";2;0;1
206;"LARREYNAGA";"V";2;0;1
207;"TELICA";"V";2;0;1
208;"QUEZALGUAQUE";"V";2;0;1
209;"LEON";"V";2;0;1
210;"LA PAZ CENTRO";"V";2;0;1
211;"NAGAROTE";"V";2;0;1
301;"PUEBLO NUEVO";"V";3;0;1
302;"CONDEGA";"V";3;0;1
303;"SAN JUAN DE LIMAY";"V";3;0;1
304;"ESTELI";"V";3;0;1
305;"LA TRINIDAD";"V";3;0;1
306;"SAN NICOLAS";"V";3;0;1
401;"SAN JOSE DE CUZMAPA";"V";4;0;1
402;"LAS SABANAS";"V";4;0;1
403;"SAN LUCAS";"V";4;0;1
404;"SOMOTO";"V";4;0;1
405;"TOTOGALPA";"V";4;0;1
406;"YALAGUINA";"V";4;0;1
407;"PALACAGUINA";"V";4;0;1
408;"TELPANECA";"V";4;0;1
409;"SAN JUAN DEL RIO COCO";"V";4;0;1
501;"SANTA MARIA";"V";5;0;1
502;"MACUELIZO";"V";5;0;1
503;"DIPILTO";"V";5;0;1
504;"OCOTAL";"V";5;0;1
505;"MOZONTE";"V";5;0;1
506;"SAN FERNANDO";"V";5;0;1
507;"JALAPA";"V";5;0;1
508;"MURRA";"V";5;0;1
509;"EL JICARO";"V";5;0;1
510;"CIUDAD ANTIGUA";"V";5;0;1
511;"QUILALI";"V";5;0;1
512;"WIWILI DE NUEVA SEGOVIA";"V";5;0;1
601;"LA CONCORDIA";"V";6;0;1
602;"SAN SEBASTIAN DE YALI";"V";6;0;1
603;"SAN RAFAEL DEL NORTE";"V";6;0;1
604;"JINOTEGA";"V";6;0;1
605;"SANTA MARIA DE PANTASMA";"V";6;0;1
606;"EL CUA";"V";6;0;1
607;"WIWILI DE JINOTEGA";"V";6;0;1
608;"SAN JOSE DE BOCAY";"V";6;0;1
701;"WASPAM";"V";7;0;1
702;"PUERTO CABEZAS";"V";7;0;1
703;"PRINZAPOLKA";"V";7;0;1
704;"BONANZA";"V";7;0;1
705;"SIUNA";"V";7;0;1
706;"ROSITA";"V";7;0;1
707;"WASLALA";"V";7;0;1
708;"MULUKUKU";"V";7;0;1
801;"MATAGALPA";"V";8;0;1
802;"SEBACO";"V";8;0;1
803;"SAN ISIDRO";"V";8;0;1
804;"CIUDAD DARIO";"V";8;0;1
805;"TERRABONA";"V";8;0;1
806;"SAN DIONISIO";"V";8;0;1
807;"ESQUIPULAS";"V";8;0;1
808;"MUY MUY";"V";8;0;1
809;"SAN RAMON";"V";8;0;1
810;"MATIGUAS";"V";8;0;1
811;"RIO BLANCO";"V";8;0;1
812;"RANCHO GRANDE";"V";8;0;1
813;"TUMA LA DALIA";"V";8;0;1
901;"TEUSTEPE";"V";9;0;1
902;"SAN JOSE DE LOS REMATES";"V";9;0;1
903;"SANTA LUCIA";"V";9;0;1
904;"BOACO";"V";9;0;1
905;"CAMOAPA";"V";9;0;1
906;"SAN LORENZO";"V";9;0;1
998;"PROCESOS LOCALES ECS";"V";0;0;1
999;"Ciudad ATX Regional";"V";1;0;1
1001;"SAN FRANCISCO LIBRE";"V";10;0;1
1002;"TIPITAPA";"V";10;0;1
1003;"MANAGUA";"V";10;0;1
1004;"SAN RAFAEL DEL SUR";"V";10;0;1
1005;"VILLA EL CARMEN";"V";10;0;1
1006;"MATEARE";"V";10;0;1
1007;"TICUANTEPE";"V";10;0;1
1008;"CIUDAD SANDINO";"V";10;0;1
1009;"EL CRUCERO";"V";10;0;1
1031;"GONTENSCHWILL AG.";"V";72;;53
1081;"SUJUM";"V";340;;281
1082;"GUDAUTA";"V";340;;281
1083;"GAGRA";"V";340;;281
1101;"TISMA";"V";11;0;1
1102;"MASAYA";"V";11;0;1
1103;"NINDIRI";"V";11;0;1
1105;"LA CONCEPCION";"V";11;0;1
1106;"MASATEPE";"V";11;0;1
1107;"NANDASMO";"V";11;0;1
1108;"NIQUINOHOMO";"V";11;0;1
1109;"CATARINA";"V";11;0;1
1110;"SAN JUAN DE ORIENTE";"V";11;0;1
1201;"SAN MARCOS";"V";12;0;1
1202;"DIRIAMBA";"V";12;0;1
1203;"DOLORES";"V";12;0;1
1204;"JINOTEPE";"V";12;0;1
1205;"EL ROSARIO";"V";12;0;1
1206;"LA PAZ CARAZO";"V";12;0;1
1207;"SANTA TERESA";"V";12;0;1
1208;"LA CONQUISTA";"V";12;0;1
1301;"GRANADA";"V";13;0;1
1302;"DIRIOMO";"V";13;0;1
1303;"DIRIA";"V";13;0;1
1304;"NANDAIME";"V";13;0;1
1401;"TOLA";"V";14;0;1
1402;"BELEN";"V";14;0;1
1403;"POTOSI";"V";14;0;1
1404;"BUENOS AIRES";"V";14;0;1
1405;"SAN JORGE";"V";14;0;1
1406;"RIVAS";"V";14;0;1
1407;"SAN JUAN DEL SUR";"V";14;0;1
1408;"CARDENAS";"V";14;0;1
1409;"MOYOGALPA";"V";14;0;1
1410;"ALTAGRACIA";"V";14;0;1
1501;"MORRITO";"V";15;0;1
1502;"EL ALMENDRO";"V";15;0;1
1503;"SAN MIGUELITO";"V";15;0;1
1504;"SAN CARLOS";"V";15;0;1
1505;"EL CASTILLO";"V";15;0;1
1506;"SAN JUAN DE NICARAGUA";"V";15;0;1
1601;"COMALAPA";"V";16;0;1
1602;"JUIGALPA";"V";16;0;1
1603;"LA LIBERTAD";"V";16;0;1
1604;"SANTO DOMINGO";"V";16;0;1
1605;"SAN PEDRO DE LOVAGO";"V";16;0;1
1606;"SANTO TOMAS";"V";16;0;1
1607;"VILLA SANDINO";"V";16;0;1
1608;"ACOYAPA";"V";16;0;1
1609;"SAN FRANCISCO DE CUAPA";"V";16;0;1
1610;"EL CORAL";"V";16;0;1
1701;"PAIWAS";"V";17;0;1
1702;"LA CRUZ DE RIO GRANDE";"V";17;0;1
1703;"EL RAMA";"V";17;0;1
1704;"KUKRA HILL";"V";17;0;1
1705;"LAGUNA DE PERLAS";"V";17;0;1
1706;"MUELLE DE LOS BUEYES";"V";17;0;1
