da_ente;da_tipo;da_valor
80846517;KYC_CUSTOMER;S
80846517;MANAGER_ASSISTANT;35
80846517;PUBLIC_FIGURE;N
80846517;RISK_TYPE;PN1
82280090;CUSTOMER_OFFICE;174
82280090;MANAGER_ASSISTANT;34
82280090;PUBLIC_FIGURE;N
82280090;RISK_TYPE;PN1
1131;CUSTOMER_OFFICE;180
1131;MANAGER_ASSISTANT;37
1131;PUBLIC_FIGURE;N
1131;RISK_TYPE;PN1
78892536;CUSTOMER_OFFICE;180
78892536;MANAGER_ASSISTANT;37
78892536;PUBLIC_FIGURE;N
78892536;RISK_TYPE;PN3
79653535;CUSTOMER_OFFICE;180
79653535;MANAGER_ASSISTANT;37
79653535;PUBLIC_FIGURE;N
79653535;RISK_TYPE;PN1
80102771;CUSTOMER_OFFICE;174
80102771;EJECUTIVO_VENTA;18
80102771;HIGH_RISK_SCORE;BJ
80102771;MANAGER_ASSISTANT;34
80102771;PUBLIC_FIGURE;N
80102771;RISK_TYPE;PN3
80442076;CUSTOMER_OFFICE;174
80442076;MANAGER_ASSISTANT;34
80442076;PUBLIC_FIGURE;N
80442076;RISK_TYPE;PN1
80480369;CUSTOMER_OFFICE;174
80480369;DEPOSITOS_MENSUALES;
80480369;HIGH_RISK_SCORE;BJ
80480369;KYC_CUSTOMER;S
80480369;MANAGER_ASSISTANT;34
80480369;PUBLIC_FIGURE;N
80480369;RETIROS_MENSUALES;
80480369;RISK_TYPE;PN3
80480369;TIER_CADD;
80480369;WATCH_LIST_CODE;
80851987;CUSTOMER_OFFICE;184
80851987;EJECUTIVO_VENTA;40
80851987;HIGH_RISK_SCORE;BJ
80851987;MANAGER_ASSISTANT;41
80851987;PUBLIC_FIGURE;N
80851987;RISK_TYPE;PN1
81237824;CUSTOMER_OFFICE;180
81237824;EJECUTIVO_VENTA;134
81237824;HIGH_RISK_SCORE;BJ
81237824;KYC_CUSTOMER;S
81237824;MANAGER_ASSISTANT;37
81237824;PUBLIC_FIGURE;N
81237824;RISK_TYPE;PN3
81357757;CUSTOMER_OFFICE;174
81357757;EJECUTIVO_VENTA;18
81357757;HIGH_RISK_SCORE;BJ
78604204;APODERADO_SI_NO;N
81357757;KYC_CUSTOMER;S
81357757;MANAGER_ASSISTANT;34
81357757;PUBLIC_FIGURE;N
81357757;RISK_TYPE;PN1
81383472;CUSTOMER_OFFICE;174
81383472;EJECUTIVO_VENTA;18
81383472;HIGH_RISK_SCORE;BJ
81383472;KYC_CUSTOMER;S
81383472;MANAGER_ASSISTANT;34
81383472;PUBLIC_FIGURE;N
81383472;RISK_TYPE;PN3
81706735;CUSTOMER_OFFICE;174
81706735;EJECUTIVO_VENTA;18
81706735;HIGH_RISK_SCORE;BJ
81706735;KYC_CUSTOMER;S
81706735;MANAGER_ASSISTANT;34
81706735;PUBLIC_FIGURE;N
81706735;RISK_TYPE;PN1
